,path,name,id,size,bounding box
0,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000001.JPEG,['n01751748'],[65],"['500', '375']","[[40, 57, 209, 115]]"
1,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000002.JPEG,"['n09193705', 'n09193705']","[970, 970]","['500', '375']","[[7, 17, 224, 94], [0, 31, 207, 125]]"
2,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000003.JPEG,['n02105855'],[230],"['500', '375']","[[3, 0, 181, 224]]"
3,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000004.JPEG,['n04263257'],[809],"['500', '375']","[[32, 0, 209, 177]]"
4,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000005.JPEG,['n03125729'],[516],"['500', '333']","[[0, 0, 201, 224]]"
5,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000006.JPEG,['n01735189'],[57],"['500', '368']","[[37, 125, 167, 178]]"
6,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000007.JPEG,['n02346627'],[334],"['500', '334']","[[29, 41, 224, 189]]"
7,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000008.JPEG,"['n02776631', 'n02776631', 'n02776631', 'n02776631']","[415, 415, 415, 415]","['500', '375']","[[0, 95, 76, 207], [74, 39, 153, 136], [23, 0, 104, 89], [67, 133, 165, 224]]"
8,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000009.JPEG,['n03794056'],[674],"['375', '500']","[[8, 87, 224, 145]]"
9,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000010.JPEG,['n02328150'],[332],"['500', '375']","[[0, 0, 224, 224]]"
10,/home/qianlivia_gmail_com/KTH/DD2412-Project-Grad-CAM/datasets/resized/ILSVRC2012_val_00000011.JPEG,['n01917289'],[109],"['500', '400']","[[61, 21, 224, 224]]"
