,path,name,id,size,bounding box
0,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000001.JPEG,['n01751748'],[65],"['500', '375']","[[49, 64, 197, 115]]"
1,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000002.JPEG,"['n09193705', 'n09193705']","[970, 970]","['500', '375']","[[20, 29, 223, 96], [0, 41, 195, 123]]"
2,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000003.JPEG,['n02105855'],[230],"['500', '375']","[[17, 11, 172, 222]]"
3,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000004.JPEG,['n04263257'],[809],"['500', '375']","[[42, 8, 197, 169]]"
4,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000005.JPEG,['n03125729'],[516],"['500', '333']","[[7, 0, 190, 223]]"
5,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000006.JPEG,['n01735189'],[57],"['500', '368']","[[47, 124, 160, 169]]"
6,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000007.JPEG,['n02346627'],[334],"['500', '334']","[[39, 50, 223, 179]]"
7,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000008.JPEG,"['n02776631', 'n02776631', 'n02776631', 'n02776631']","[415, 415, 415, 415]","['500', '375']","[[6, 97, 81, 195], [78, 48, 148, 133], [34, 1, 105, 92], [73, 130, 159, 223]]"
8,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000009.JPEG,['n03794056'],[674],"['375', '500']","[[21, 90, 222, 141]]"
9,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000010.JPEG,['n02328150'],[332],"['500', '375']","[[0, 0, 221, 223]]"
10,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000011.JPEG,['n01917289'],[109],"['500', '400']","[[67, 33, 214, 218]]"
11,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000012.JPEG,['n02125311'],[286],"['500', '334']","[[0, 0, 170, 223]]"
12,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000013.JPEG,['n02484975'],[370],"['500', '333']","[[38, 22, 223, 223]]"
13,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000014.JPEG,['n04065272'],[757],"['500', '376']","[[18, 12, 201, 223]]"
14,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000015.JPEG,['n03496892'],[595],"['620', '478']","[[84, 30, 216, 86]]"
15,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000016.JPEG,['n02066245'],[147],"['500', '333']","[[24, 30, 223, 223]]"
16,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000017.JPEG,"['n01914609', 'n01914609', 'n01914609', 'n01914609']","[108, 108, 108, 108]","['500', '375']","[[87, 53, 114, 96], [116, 47, 180, 143], [113, 13, 145, 89], [0, 69, 38, 134]]"
17,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000018.JPEG,['n01616318'],[23],"['500', '500']","[[64, 72, 162, 120]]"
18,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000019.JPEG,['n02971356'],[478],"['500', '375']","[[19, 55, 223, 223]]"
19,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000020.JPEG,['n03126707'],[517],"['500', '375']","[[0, 0, 216, 223]]"
20,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000021.JPEG,"['n02346627', 'n02346627']","[334, 334]","['375', '500']","[[122, 51, 194, 103], [24, 117, 74, 153]]"
21,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000022.JPEG,"['n02091244', 'n02091244', 'n02091244', 'n02091244']","[173, 173, 173, 173]","['375', '500']","[[117, 137, 173, 223], [176, 103, 209, 125], [57, 121, 103, 190], [102, 121, 167, 172]]"
22,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000023.JPEG,"['n07742313', 'n07742313', 'n07742313', 'n07742313', 'n07742313']","[948, 948, 948, 948, 948]","['709', '510']","[[120, 92, 183, 185], [58, 86, 118, 170], [137, 62, 193, 131], [23, 71, 73, 151], [92, 57, 139, 123]]"
23,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000024.JPEG,['n03956157'],[727],"['500', '375']","[[0, 26, 223, 191]]"
24,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000025.JPEG,['n01616318'],[23],"['500', '500']","[[66, 52, 179, 159]]"
25,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000026.JPEG,['n04380533'],[846],"['375', '500']","[[17, 2, 218, 126]]"
26,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000027.JPEG,"['n02114548', 'n02114548', 'n02114548', 'n02114548', 'n02114548']","[270, 270, 270, 270, 270]","['500', '334']","[[13, 85, 103, 185], [101, 77, 175, 184], [104, 135, 176, 182], [103, 119, 173, 182], [0, 96, 38, 179]]"
27,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000028.JPEG,['n02089973'],[167],"['500', '454']","[[15, 15, 223, 223]]"
28,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000029.JPEG,['n01729977'],[55],"['500', '334']","[[57, 42, 223, 214]]"
29,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000030.JPEG,['n04435653'],[858],"['500', '375']","[[37, 45, 201, 146]]"
30,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000031.JPEG,['n02280649'],[324],"['500', '426']","[[45, 28, 118, 160]]"
31,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000032.JPEG,['n03444034'],[573],"['500', '375']","[[0, 20, 218, 206]]"
32,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000033.JPEG,['n02077923'],[150],"['500', '383']","[[79, 60, 146, 140]]"
33,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000034.JPEG,['n09835506'],[981],"['500', '363']","[[96, 64, 148, 199]]"
34,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000035.JPEG,['n03478589'],[586],"['800', '659']","[[0, 20, 220, 217]]"
35,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000036.JPEG,['n04532106'],[887],"['375', '500']","[[40, 70, 179, 223]]"
36,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000037.JPEG,['n01644900'],[32],"['500', '333']","[[22, 71, 223, 165]]"
37,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000038.JPEG,['n02666196'],[398],"['500', '375']","[[108, 4, 193, 215]]"
38,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000039.JPEG,"['n04141327', 'n04141327', 'n04141327']","[777, 777, 777]","['700', '248']","[[0, 124, 221, 214], [5, 34, 215, 132], [4, 5, 202, 54]]"
39,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000040.JPEG,"['n01773797', 'n01773797', 'n01773797', 'n01773797', 'n01773797']","[74, 74, 74, 74, 74]","['500', '500']","[[129, 22, 204, 103], [145, 150, 178, 199], [58, 168, 100, 208], [23, 30, 65, 88], [25, 118, 34, 126]]"
40,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000041.JPEG,['n03125729'],[516],"['369', '491']","[[0, 35, 222, 223]]"
41,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000042.JPEG,['n04049303'],[756],"['375', '500']","[[30, 159, 146, 223]]"
42,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000043.JPEG,['n02006656'],[129],"['500', '409']","[[57, 23, 188, 207]]"
43,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000044.JPEG,['n02097209'],[198],"['500', '375']","[[27, 20, 187, 200]]"
44,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000045.JPEG,['n02111277'],[256],"['375', '500']","[[44, 45, 222, 223]]"
45,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000046.JPEG,['n03950228'],[725],"['500', '424']","[[77, 15, 155, 151]]"
46,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000047.JPEG,['n03393912'],[565],"['500', '374']","[[0, 2, 223, 220]]"
47,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000048.JPEG,['n02089973'],[167],"['500', '333']","[[15, 28, 223, 223]]"
48,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000049.JPEG,['n03930630'],[717],"['500', '394']","[[35, 54, 185, 155]]"
49,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000050.JPEG,['n02640242'],[394],"['366', '500']","[[110, 8, 216, 218]]"
50,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000051.JPEG,['n01828970'],[92],"['398', '500']","[[28, 22, 181, 129]]"
51,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000052.JPEG,['n01632777'],[29],"['600', '450']","[[2, 62, 204, 185]]"
52,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000053.JPEG,"['n04372370', 'n04372370']","[844, 844]","['500', '375']","[[137, 98, 167, 168], [105, 96, 141, 172]]"
53,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000054.JPEG,"['n03485794', 'n03485794']","[591, 591]","['500', '375']","[[0, 12, 223, 223], [31, 0, 137, 53]]"
54,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000055.JPEG,"['n02443114', 'n02443114', 'n02443114', 'n02443114']","[358, 358, 358, 358]","['640', '480']","[[25, 85, 221, 197], [0, 26, 176, 142], [132, 0, 193, 66], [183, 193, 223, 223]]"
55,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000056.JPEG,['n02930766'],[468],"['500', '332']","[[0, 1, 223, 223]]"
56,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000057.JPEG,"['n02112018', 'n02112018']","[259, 259]","['500', '375']","[[27, 81, 130, 215], [61, 30, 196, 195]]"
57,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000058.JPEG,"['n13040303', 'n13040303', 'n13040303', 'n13040303']","[994, 994, 994, 994]","['333', '500']","[[115, 91, 142, 155], [90, 81, 115, 153], [72, 74, 98, 93], [41, 78, 78, 99]]"
58,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000059.JPEG,"['n04485082', 'n04485082', 'n04485082']","[872, 872, 872]","['500', '375']","[[41, 69, 136, 222], [164, 94, 203, 186], [0, 114, 29, 223]]"
59,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000060.JPEG,['n03482405'],[588],"['600', '395']","[[44, 17, 160, 206]]"
60,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000061.JPEG,['n02963159'],[474],"['540', '720']","[[37, 49, 179, 179]]"
61,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000062.JPEG,['n02093859'],[183],"['500', '333']","[[25, 16, 204, 215]]"
62,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000063.JPEG,['n01910747'],[107],"['375', '500']","[[10, 19, 210, 202]]"
63,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000064.JPEG,['n01693334'],[46],"['375', '500']","[[58, 4, 143, 214]]"
64,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000065.JPEG,"['n04371430', 'n04371430']","[842, 842]","['375', '500']","[[84, 69, 120, 178], [89, 114, 116, 124]]"
65,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000066.JPEG,['n02526121'],[390],"['500', '384']","[[42, 41, 170, 156]]"
66,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000067.JPEG,['n01871265'],[101],"['459', '500']","[[13, 28, 183, 211]]"
67,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000068.JPEG,['n04532106'],[887],"['375', '500']","[[0, 0, 222, 223]]"
68,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000069.JPEG,['n04482393'],[870],"['500', '375']","[[112, 72, 209, 186]]"
69,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000070.JPEG,['n04370456'],[841],"['334', '500']","[[0, 75, 189, 223]]"
70,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000071.JPEG,"['n02927161', 'n02927161']","[467, 467]","['500', '375']","[[0, 45, 203, 222], [26, 23, 72, 68]]"
71,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000072.JPEG,['n02074367'],[149],"['359', '500']","[[0, 26, 170, 153]]"
72,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000073.JPEG,"['n01608432', 'n01608432']","[21, 21]","['500', '400']","[[135, 58, 203, 129], [14, 75, 100, 168]]"
73,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000074.JPEG,['n02966193'],[476],"['500', '375']","[[1, 1, 223, 223]]"
74,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000075.JPEG,['n01795545'],[80],"['500', '354']","[[29, 43, 124, 197]]"
75,/home/livia/KTH/DD2412-Project-Grad-CAM/datasets/ILSVRC2012 val/resized/ILSVRC2012_val_00000076.JPEG,['n02791270'],[424],"['500', '375']","[[0, 0, 189, 223]]"
