index,value
0,"[101, 88, 223, 28, 44]"
7,"[6, 125, 195, 0, 20]"
16,"[199, 105, 187, 178, 212]"
17,"[76, 135, 218, 28, 0]"
20,"[160, 60, 106, 233, 251]"
21,"[176, 153, 247, 64, 167]"
25,"[4, 64, 52, 34, 7]"
27,"[92, 94, 6, 3, 228]"
29,"[40, 208, 122, 54, 0]"
33,"[138, 107, 254, 49, 209]"
34,"[130, 43, 255, 0, 57]"
36,"[88, 44, 250, 97, 88]"
38,"[8, 19, 61, 35, 19]"
41,"[14, 69, 24, 0, 158]"
44,"[51, 90, 232, 253, 120]"
45,"[98, 80, 204, 252, 82]"
47,"[104, 53, 117, 151, 249]"
49,"[222, 125, 137, 18, 53]"
50,"[155, 115, 201, 78, 196]"
54,"[55, 18, 233, 255, 173]"
